代码 / Code,名称 / Name,Name
A,综合,General
B,农业、林业,"Agriculture, forestry"
C,医药、卫生、劳动保护,"Medicine, health, labor protection"
D,矿业,Mining
E,石油,Oil
F,能源、核技术,"Energy, nuclear technology"
G,化工,Chemistry
H,冶金,Metallurgy
J,机械,Mechanical
K,电工,Electrical engineering
L,电子元器件与信息技术,Electronic components and information technology
M,通信、广播,"Communication, broadcasting"
N,仪器、仪表,"Instruments, meters"
P,土木、建筑,"Civil engineering, construction"
Q,建材,Building materials
R,公路、水路运输,Highway and waterway transport
S,铁路,Railway
T,车辆,Vehicular
U,船舶,Shipping
V,航空、航天,Aerospace
W,纺织,Textile
X,食品,Food
Y,轻工、文化与生活用品,"Light industry, culture and daily necessities"
Z,环境保护,Environmental protection
