代码 / Code,名称 / Name,Name,类 / Category,注释 /Notes,Comment /Notes
A00/09,标准化管理与一般规定,Standardized management and general regulations,A,,
A10/19,经济、文化,"Economy, culture",A,,
A20/39,基础标准,Basic standards,A,,
A40/49,基础学科,Basic subjects,A,,
A50/64,计量,Measurement,A,,
A65/74,标准物质,Standard material,A,综合性标准样品入此，专业标准样品入各专业类。,"General standard samples should be entered here, and professional standard samples should be placed into each professional category."
A75/79,测绘,Mapping,A,,
A80/89,标志、包装、运输、贮存,"Signs, packaging, transportation, storage",A,,
A90/94,社会公共安全,Social public safety,A,,
B00/09,农业、林业综合,"General agriculture, forestry",B,用于生产、流通过程中保证符合文字标准要求的农业、林业标样分别入本类各有关类目。,The agricultural and forestry standards that are used to ensure compliance with the written standards during production and distribution are included in the relevant categories of this category.
B10/14,土壤与肥料,Soil and fertilizer,B,,
B15/19,植物保护,Plant protection,B,,
B20/29,粮食与饲料作物,Food and feed crops,B,,
B30/39,经济作物,Crops,B,,
B40/49,畜牧,Livestock,B,,
B50/59,水产、渔业,"Fisheries, fishery",B,,
B60/79,林业,Forestry,B,,
B90/99,农、林机械与设备,Agriculture and forestry machinery and equipment,B,拖拉机入T60/69。,Tractors should be entered into T60/69.
C00/09,医药、卫生、劳动保护综合,"General medicine, health, labor protection",C,用于生产、流通过程保证符合文字标准要求的医药、卫生标样分别列入本类各有关类目。,The medicines and hygiene standards that are used in the production and distribution process to ensure compliance with the written standards are included in each category of this category.
C10/29,医药,Medicine,C,兽用药及兽医入B42。放射性药品入F54。,Veterinary drugs and veterinary medicines are introduced in B42. Radioactive drugs should be placed into F54.
C30/49,医疗器械,Medical instruments,C,兽用医疗器械入B42。,Veterinary medical devices should be placed into B42.
C50/64,卫生,Health,C,,
C65/74,劳动安全技术,Labor safety technology,C,,
C75/79,劳动保护管理,Labor protection management,C,,
C80/89,消防,Firefighting,C,,
C90/99,制药、安全机械与设备,"Pharmaceuticals, safety machinery and equipment",C,,
D00/09,矿业综合,General mining,D,用于生产、流通过程中保证符合文字标准要求的矿产品标样分别入本类各类目。矿山铁路入S类。,"For the production, distribution process to ensure that meet the text standard requirements of mineral product standards should be placed into this category of various purposes. Mine Railway enters Class S."
D10/19,地质矿产勘察与开发,Geological mineral exploration and development,D,油气田勘察与开发入E10/19,Oil and gas exploration and development should be placed into E10/19
D20/29,固体燃料矿,Solid fuel mine,D,品位、储量及其分析方法分别入各矿产品类。,"Grades, reserves, and their analytical methods were entered should be placed into each mineral product category."
D30/39,黑色金属矿,Black metal mine,D,品位、储量及其分析方法分别入各矿产品类。烧结矿、球团矿入H31。,"Grades, reserves, and their analytical methods were entered should be placed into each mineral product category. Sintered ore pellets enter H31."
D40/49,有色金属矿,Non-ferrous metal ore,D,品位、储量及其分析方法分别入各矿产品类。,"Grades, reserves, and their analytical methods were entered should be placed into each mineral product category."
D50/59,非金属矿,Non-metallic minerals,D,品位、储量及其分析方法分别入各矿产品类。,"Grades, reserves, and their analytical methods were entered should be placed into each mineral product category."
D80/89,地质勘探设备,Geological exploration equipment,D,通用仪器仪表入N91，凿岩机械入J84，通用运输、提升机械入J81。,"General instrumentation should be placed into N91, drilling machinery should be placed into J84, general transport, lifting machinery should be placed into J81."
D90/99,矿山机械设备,Mining machinery and equipment,D,,
E00/09,石油综合,Comprehensive oil,E,用于生产、流通过程中保证符合文字标准要求的石油产品标样分别入本类各有关类目。,The petroleum product standards used in the production and distribution process to ensure compliance with the written standard requirements are included in the relevant categories of this category respectively.
