代码 / Code,名称 / Name,Name,代码 / Code,备注 / Notes,Notes
A00,标准化、质量管理,"Standardization, quality management",A00/09,标准化工作法规、导则，质量监督法规、导则，产品质量认证制度等。,"Standardized work regulations, guidelines, quality supervision and regulations, guidelines, product quality certification systems, etc."
A01,技术管理,Technical management,A00/09,技术文件管理，能源管理，设备、工具管理等。,"Technical document management, energy management, equipment, tool management, etc."
A02,经济管理,Economic management,A00/09,计划、供销、财务、劳资管理等。,"Planning, supply and marketing, finance, labor management, etc."
A10,商业、贸易、合同,"Business, trade, contract",A10/19,商业、贸易、商检与合同等。,"Business, trade, commodity inspection and contracts."
A11,金融、保险,Financial insurance,A10/19,银行工作、会计制度、证券格式、货币、规范、信贷、信托等。,"Banking, accounting systems, securities formats, currencies, regulations, credit, trusts, etc."
A12,供应与使用关系,Supply and use relationship,A10/19,消费者标准等。,Consumer standards and so on.
A13,文件格式,File format,A10/19,证件、行政文件、表格、卡片等。,"Documents, administrative documents, forms, cards, etc."
A14,图书馆、档案、文献与情报工作,"Library, archives, literature and intelligence work",A10/19,收集、加工、报道、服务和管理等。包括自动化处理，手工、机器检索，机器翻译以及缩微技术。缩微设备入N47。,"Collection, processing, reporting, service and management. Including automated processing, manual, machine retrieval, machine translation and microfilming technology. Micro device into the N47."
A15,电影与摄影技术,Film and photography,A10/19,术语、设计、工艺试验方法质量评定、电影与摄影技术等。电影胶片、照相胶卷入G80/81，照相级化学药品入G84/85，电影与摄影设备入N40/44和N46。电光源入K71。,"Terms, design, process test methods, quality assessment, film and photographic techniques. Movie film, photographic film, G80/81, photographic grade chemicals, G84/85, film and photographic equipment, N40/44 and N46. Electric light source into K71."
A16,服务标准,Service standards,A10/19,,
A17,印刷技术,Printing technology,A10/19,印刷材料入此。印刷机械入J87。,Printing material into this. Printing machinery into the J87.
A18,教育、学位、学衔,"Education, degree, and academic title",A10/19,,
A19,编辑、出版,Edited and published,A10/19,文字、印刷符号、校对符号、出版规定等。,"Text, printed symbols, proofreading symbols, publication regulations, etc."
A20,综合技术,Comprehensive technology,A20/39,优先数与优先数系统、抽样、价值工程等,"Priority and priority systems, sampling, value engineering, etc."
A21,环境条件与通用试验方法,Environmental conditions and general test methods,A20/39,环境条件分级入此。,The environmental conditions are classified into this.
A22,术语、符号,"Terms, symbols",A20/39,术语编制原则，通用的术语、图形符号、文字符号等。,"Principles for the formulation of terms, general terms, graphic symbols, textual symbols, etc."
A24,分类编码,Classification code,A20/39,国家、部门、行业、职业、产品、文献等的分类编码。,"Classification codes for countries, departments, industries, occupations, products, documents, etc."
A25,人类工效学,Ergonomics,A20/39,,
A26,颜色,Colour,A20/39,安全色入此。,Safe color into this.
A28,筛分、筛板与筛网,"Screening, sieve plates and screens",A20/39,术语、系列等。,"Terminology, series, etc."
A29,材料防护,Material protection,A20/39,金属、非金属材料防护（如电镀、涂装等）及其试验方法等。,"Metal, non-metallic materials protection (such as plating, painting, etc.) and its test methods."
A31,爆破技术,Blasting technology,A20/39,定向爆破、微型爆破、爆炸成型、震源射孔、切割等。,"Directional blasting, micro blasting, explosive forming, source perforation, cutting, etc."
A40,基础学科综合,Basic discipline - general,A40/49,,
A41,数学,Mathematics,A40/49,数理统计方法等。,Mathematical statistics methods.
A42,物理学与力学,Physics and mechanics,A40/49,热与热力学、光学、流体力学、空气力学、声学与振动、电学、磁学等。摩擦、磨损入此。,"Thermal and thermodynamics, optics, fluid mechanics, aerodynamics, acoustics and vibration, electricity, magnetism, etc. Friction, wear into this."
A43,化学,Chemistry,A40/49,基本化学分析方法等。,Basic chemical analysis methods.
A44,地球科学,Earth science,A40/49,,
A45,海洋学,Oceanography,A40/49,术语、水文、气象等海洋要素分析，海洋规范、监测、环境资料标准等。,"Analysis of marine elements such as terminology, hydrology, and meteorology, marine specifications, monitoring, and environmental data standards."
A46,天文学,Astronomy,A40/49,时间表示法等。,Time representation and so on.
A47,气象学,Meteorology,A40/49,大气标准、气象灾害等。,"Atmospheric standards, meteorological disasters, etc."
A50,计量综合,Measurement - general,A50/64,术语、符号、测量技术的基本规定等。,"Terminology, symbols, basic provisions of measurement techniques, etc."
A51,量和单位,Quantity and unit,A50/64,量和单位的名称、符号、定义等。换算值入此。,"Quantity, unit name, symbol, definition, etc. Conversion value into this."
A52,长度计量,Length measurement,A50/64,长度、角度基准、主要用于标准器的计量器具及检定装置等。直尺、卷尺等入此。,"Length, angle reference, measuring instruments and verification devices mainly used for standard instruments. Straight ruler, tape measure, etc."
A53,力学计量,Mechanical measurement,A50/64,力学基准、主要用于标准器的计量器具及检定装置等。杠杆式衡器、秤具入此。电子秤入N13。,"Mechanical benchmarks, measuring instruments and verification devices that are mainly used for standard instruments. Leverage scales, scales into this. Electronic scales into the N13."
A54,热学计量,Thermal measurement,A50/64,热学基准、主要用于标准器的计量器具及检定装置等。,"Thermal reference, measuring instruments and verification devices mainly used for standard instruments."
A55,电磁计量,Electromagnetic measurement,A50/64,电磁基准、主要用于标准器的计量器具及检定装置等。,"Electromagnetic reference, measuring instruments and verification devices that are mainly used for standard instruments."
A56,无线电计量,Radio metering,A50/64,无线电基准、主要用于标准器的计量器具及检定装置等。,"Radio reference, measuring instruments and verification devices mainly used for standard instruments."
A57,时间、频率计量,Time and frequency measurement,A50/64,时间、频率基准，主要用于标准器的计量器具及检定装置等。,The time and frequency reference are mainly used for measuring instruments and verification devices of standard instruments.
A58,电离幅射计量,Ionizing radiation measurement,A50/64,电离辐射基准、主要用于标准器的计量器具及检定装置等。,"Ionizing radiation standards, measuring instruments and test devices that are mainly used for standard instruments."
A59,声学计量,Acoustic measurement,A50/64,声学基准、主要用于标准器的计量器具及检定装置等。,"Acoustic reference, measuring instruments and verification devices that are mainly used for standard instruments."
A60,光学计量,Optical metrology,A50/64,光学基准、主要用于标准器的计量器具及检定装置等。,"Optical reference, measuring instruments and verification devices that are mainly used for standard instruments."
A61,化学计量,Stoichiometry,A50/64,化学基准、主要用于标准器的计量器具及检定装置等。,"Chemical standards, measuring instruments and verification devices that are mainly used for standard instruments."
